geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d000366,73.24241939,-1.326470179,0.527825478,-2.513084787,0.011968057,0.039376881
Zm00001d032906,35.21429016,-1.317403435,0.523650539,-2.515806509,0.011876036,0.039108081
Zm00001d002149,336.393341,-1.069154275,0.249484703,-4.285450214,1.82E-05,0.000149876
Zm00001d018365,181.4329982,-1.022466422,0.316478073,-3.230765445,0.001234592,0.005820384
Zm00001d038928,109.731217,1.262152334,0.345427943,3.653880235,0.000258307,0.001518724
Zm00001d031561,94.03287892,1.264169984,0.485528576,2.603698413,0.009222387,0.03174575
Zm00001d043906,189.0988901,1.302170039,0.531069884,2.451974928,0.014207456,0.045456698
Zm00001d016081,95.54401481,1.360914795,0.519848488,2.617906616,0.008847101,0.030676901
Zm00001d043187,36.47730128,1.519078248,0.586084457,2.591910143,0.00954447,0.032691076
Zm00001d003153,195.4863001,1.519329888,0.283297888,5.363011696,8.18E-08,1.22E-06
Zm00001d049607,59.12865407,1.571094144,0.630349409,2.492417891,0.012687666,0.041336179
Zm00001d027304,119.0510857,1.582311876,0.54221891,2.918215959,0.003520404,0.01413057
Zm00001d004621,33.83764681,1.731409008,0.70489883,2.456251781,0.014039475,0.044990744
Zm00001d045445,31.64229418,1.731446393,0.578229196,2.994394617,0.0027499,0.011496101
Zm00001d030323,31.83648871,1.761069977,0.626984823,2.808792035,0.004972776,0.018823512
Zm00001d003670,59.53526482,1.793017785,0.696064171,2.575937479,0.009996872,0.033941436
ZemaCp018,290.7491028,1.804161213,0.497592256,3.625782342,0.000288088,0.001665711
Zm00001d029387,65.94699908,1.80523266,0.715470587,2.523140284,0.011631199,0.038464813
Zm00001d003464,27.53111713,1.847420975,0.663380674,2.784857998,0.005355117,0.020035581
Zm00001d019374,68.05937916,1.872589516,0.434796497,4.306818316,1.66E-05,0.000137906
Zm00001d006476,51.25441474,1.872952024,0.562316849,3.330776995,0.00086604,0.00429393
Zm00001d022998,401.9415771,1.903999016,0.257339206,7.398791059,1.37E-13,5.68E-12
Zm00001d011229,32.70532588,1.940770596,0.71326965,2.720949356,0.006509473,0.023650878
Zm00001d000220,15.63598047,2.003559307,0.815131741,2.457957662,0.013972965,0.044801289
Zm00001d007018,21.92606299,2.016824821,0.706996187,2.852667184,0.0043354,0.016796835
Zm00001d032806,58.53384614,2.0721263,0.748849771,2.767078765,0.005656109,0.020993265
Zm00001d011562,107.1528447,2.076418657,0.5828109,3.562765653,0.000366968,0.002049086
Zm00001d031530,84.32696913,2.111114744,0.475121396,4.443316515,8.86E-06,7.90E-05
Zm00001d007205,51.47650553,2.116613442,0.849174939,2.492552882,0.012682844,0.041329355
Zm00001d048142,20.2632882,2.122896382,0.816611318,2.599641144,0.009332129,0.032043699
Zm00001d014261,93.94385771,2.151687707,0.590945646,3.641092409,0.000271484,0.001583907
Zm00001d027296,75.84711555,2.166218011,0.467559254,4.633034192,3.60E-06,3.56E-05
Zm00001d011687,62.8262477,2.174182599,0.620543867,3.50367269,0.000458889,0.002479471
Zm00001d047680,37.07526935,2.184776767,0.696057587,3.138787376,0.001696485,0.007618723
Zm00001d044821,16.01227406,2.251548024,0.925994334,2.431492226,0.015036771,0.047607802
Zm00001d019613,52.05465038,2.257240327,0.750986032,3.005702147,0.002649684,0.011137051
Zm00001d047162,32.73162647,2.294117951,0.661573745,3.467667768,0.000524996,0.002783783
Zm00001d009402,26.61634561,2.364092832,0.628697273,3.760303937,0.000169707,0.001057711
Zm00001d047940,122.2956285,2.367781447,0.438276971,5.402477435,6.57E-08,1.01E-06
Zm00001d050466,21.06269765,2.399881424,0.861032179,2.787214559,0.005316327,0.019912804
Zm00001d047990,97.88186341,2.433458184,0.805629768,3.020566368,0.002523024,0.010672762
Zm00001d017786,28.64332101,2.468064504,0.908300183,2.717234401,0.006582997,0.023872224
